,name,team,position,Games Played,Minutes Per Game,Field Goal Percentage,Free Throw Percentage,Three Pointers Per Game,Rebounds Per Game,Assists Per Game,Assists To Turnover Ratio,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
98,RJBarrett,NY,SF,77.0,34.4,No,No,Yes,No,No,1.43,No,No,Yes,Yes
99,P.J.Washington,Cha,"PF,C",72.0,31.9,No,No,Yes,Yes,No,1.53,Yes,Yes,No,No
100,MonteMorris,Wsh,PG,73.0,30.9,Yes,Yes,No,No,Yes,5.4,No,No,No,No
101,MikeConley,Utah,PG,69.0,28.7,No,Yes,Yes,No,Yes,3.01,Yes,No,No,No
102,WendellCarterJr.,Orl,"C,PF",72.0,28.6,Yes,No,No,Yes,No,1.36,No,Yes,No,No
103,DraymondGreen,GS,PF,68.0,28.1,Yes,No,No,Yes,Yes,2.38,Yes,Yes,Yes,No
104,RobertWilliamsIII,Bos,"C,PF",56.0,30.4,Yes,No,No,Yes,No,1.9,Yes,Yes,No,No
105,KellyOubreJr.,Cha,"PF,SG",76.0,29.3,No,No,Yes,No,No,1.2,Yes,No,No,No
106,JadenIvey,Det,PG,73.0,30.7,No,No,Yes,No,Yes,1.6,Yes,No,Yes,No
107,MalikBeasley,Utah,SG,71.0,32.2,No,Yes,Yes,No,No,1.52,No,No,No,Yes
108,JalenSmith,Ind,PF,71.0,28.9,Yes,No,No,Yes,No,0.54,No,Yes,No,No
109,IvicaZubac,LAC,C,78.0,25.2,Yes,No,No,Yes,No,1.15,No,Yes,No,No
110,MontrezlHarrell,Phi,"C,PF",76.0,23.4,Yes,No,No,Yes,No,1.71,No,Yes,No,No
111,MarcusSmart,Bos,"SG,PG",68.0,31.3,No,Yes,Yes,No,Yes,2.24,Yes,No,Yes,No
112,DillonBrooks,Mem,"SG,SF",71.0,31.3,No,Yes,Yes,No,No,1.45,Yes,No,No,Yes
113,KevinHuerter,Sac,SG,76.0,32.1,No,Yes,Yes,No,No,2.54,Yes,No,No,No
114,JeramiGrant,Por,"PF,SF",72.0,31.2,No,Yes,No,No,No,1.36,No,Yes,No,No
115,KyleLowry,Mia,PG,62.0,31.5,No,Yes,Yes,No,Yes,2.76,Yes,No,Yes,No
116,AndreDrummond,Chi,C,77.0,20.3,Yes,No,No,Yes,No,1.06,Yes,Yes,No,No
117,DennisSchroder,LAL,PG,73.0,31.1,No,Yes,No,No,Yes,1.99,No,No,Yes,No
118,GordonHayward,Cha,SF,64.0,31.4,No,Yes,Yes,No,No,2.06,Yes,No,No,Yes
119,HarrisonBarnes,Sac,"SF,PF",76.0,32.4,No,Yes,No,No,No,1.79,No,No,No,No
120,HerbertJones,NO,"PF,SF",76.0,31.6,Yes,Yes,No,No,No,1.65,Yes,Yes,No,No
121,JordanClarkson,Utah,SG,78.0,26.7,No,Yes,Yes,No,No,1.5,No,No,No,No
122,JonathanIsaac,Orl,"PF,SF",65.0,26.5,No,No,No,Yes,No,0.92,Yes,Yes,No,No
123,DerrickWhite,Bos,"PG,SG",74.0,27.6,No,Yes,No,No,Yes,3.0,No,Yes,No,No
124,BogdanBogdanovic,Atl,"SG,SF",68.0,29.3,No,Yes,Yes,No,No,2.66,Yes,No,No,No
125,StevenAdams,Mem,C,76.0,26.7,Yes,No,No,Yes,No,1.93,No,Yes,No,No
126,NicClaxton,Bkn,"C,PF",67.0,28.6,Yes,No,No,Yes,No,1.18,No,Yes,No,No
127,JabariSmithJr.,Hou,PF,72.0,30.2,No,Yes,Yes,Yes,No,0.83,No,Yes,No,No
128,ColeAnthony,Orl,PG,72.0,28.7,No,Yes,No,No,Yes,2.08,No,No,Yes,No
129,JohnWall,LAC,PG,62.0,31.5,No,No,Yes,No,Yes,1.85,Yes,Yes,Yes,No
130,BonesHyland,Den,PG,77.0,23.9,No,Yes,Yes,No,No,2.2,No,No,No,No
131,AaronGordon,Den,PF,72.0,29.3,No,No,No,No,No,1.72,No,No,No,No
132,LuguentzDort,OKC,"SG,SF",72.0,33.1,No,Yes,Yes,No,No,1.0,No,No,No,Yes
133,T.J.McConnell,Ind,PG,70.0,23.9,Yes,No,No,No,Yes,3.8,Yes,No,No,No
134,AlHorford,Bos,"C,PF",64.0,27.3,No,Yes,No,Yes,No,3.53,No,Yes,No,No
135,OnyekaOkongwu,Atl,C,73.0,23.6,Yes,No,No,Yes,No,1.1,No,Yes,No,No
136,DorianFinney-Smith,Dal,"SF,PF",77.0,32.3,No,No,Yes,No,No,2.01,Yes,No,No,No
137,MasonPlumlee,Cha,C,75.0,24.9,Yes,No,No,Yes,No,2.12,No,Yes,No,No
138,WillBarton,Wsh,"SF,SG",72.0,29.7,No,Yes,Yes,No,No,2.13,No,No,No,No
139,ChrisDuarte,Ind,SG,73.0,30.9,No,Yes,Yes,No,No,1.28,Yes,No,No,No
140,KellyOlynyk,Utah,"C,PF",71.0,24.8,No,Yes,No,No,No,1.7,Yes,No,No,No
141,CarisLeVert,Cle,"SG,SF",73.0,28.4,No,No,No,No,No,1.89,No,No,No,No
142,BojanBogdanovic,Det,PF,75.0,31.2,No,Yes,Yes,No,No,1.0,No,No,No,Yes
143,Jae'SeanTate,Hou,"SF,PF",77.0,26.0,Yes,No,No,No,No,1.63,Yes,No,No,No
144,LonzoBall,Chi,PG,56.0,31.6,No,No,Yes,No,Yes,2.19,Yes,Yes,Yes,No
145,MarvinBagleyIII,Det,PF,69.0,27.8,Yes,No,No,Yes,No,0.77,No,No,No,No
146,JoseAlvarado,NO,PG,72.0,21.8,No,No,No,No,Yes,4.0,Yes,No,No,No
147,KyleAnderson,Min,"SF,PF",75.0,23.0,No,No,No,No,No,2.63,Yes,Yes,No,No
148,AleksejPokusevski,OKC,PF,74.0,27.8,No,No,No,Yes,No,1.27,No,Yes,Yes,No
149,CameronPayne,Phx,PG,73.0,23.2,No,Yes,No,No,Yes,2.94,No,No,No,No
150,NormanPowell,LAC,"SG,SF",72.0,27.3,No,Yes,Yes,No,No,1.21,No,No,No,No
151,RobertCovington,LAC,"PF,SF",76.0,25.0,No,Yes,No,No,No,1.34,Yes,Yes,No,No
152,KevinLove,Cle,PF,69.0,23.0,No,Yes,Yes,Yes,No,1.57,No,No,No,No
153,TariEason,Hou,SF,74.0,25.3,Yes,Yes,No,No,No,0.55,Yes,Yes,Yes,No
154,BrookLopez,Mil,C,69.0,25.8,No,Yes,No,No,No,1.0,No,Yes,No,No
155,TeranceMann,LAC,"SF,SG",77.0,28.1,Yes,Yes,No,No,No,2.51,No,No,No,No
156,MoBamba,Orl,C,74.0,21.5,Yes,No,No,Yes,No,1.1,No,Yes,No,No
157,DariusBazley,OKC,"SF,PF",73.0,30.5,No,No,No,Yes,No,0.89,No,Yes,No,No
158,IsaiahJackson,Ind,"PF,C",71.0,20.5,Yes,No,No,No,No,0.26,No,Yes,No,No
159,JaeCrowder,Phx,"PF,SF",74.0,28.5,No,No,Yes,No,No,2.1,Yes,No,No,No
160,SethCurry,Bkn,"SG,PG",72.0,28.8,Yes,Yes,Yes,No,No,2.14,No,No,No,No
161,KentaviousCaldwell-Pope,Den,"SG,SF",79.0,29.1,No,Yes,Yes,No,No,1.72,Yes,No,No,No
162,CobyWhite,Chi,PG,74.0,28.8,No,Yes,Yes,No,No,2.39,No,No,No,No
163,JadenMcDaniels,Min,SF,75.0,28.3,No,No,No,No,No,1.18,No,Yes,No,No
164,VictorOladipo,Mia,SG,66.0,26.0,No,No,Yes,No,No,1.76,Yes,No,Yes,No
165,GoranDragic,Chi,PG,66.0,29.8,No,Yes,Yes,No,Yes,2.13,No,No,Yes,No
166,Devonte'Graham,NO,PG,74.0,26.9,No,Yes,Yes,No,Yes,2.94,No,No,No,No
167,JonathanKuminga,GS,"PF,SF",76.0,24.7,Yes,No,No,No,No,0.87,No,No,No,No
168,DeniAvdija,Wsh,"SF,PF",76.0,27.8,No,No,No,No,No,1.84,No,No,No,No
169,RuiHachimura,Wsh,"PF,SF",72.0,29.5,Yes,No,No,No,No,1.37,No,No,No,No
170,TyusJones,Mem,PG,77.0,20.7,No,Yes,No,No,Yes,6.28,No,No,No,No
171,EvanFournier,NY,"SG,SF",73.0,26.2,No,No,Yes,No,No,1.69,No,No,No,No
172,TimHardawayJr.,Dal,"SG,SF",69.0,28.9,No,Yes,Yes,No,No,2.23,No,No,No,No
173,BruceBrown,Den,SG,73.0,24.5,Yes,No,No,No,No,2.44,Yes,No,No,No
174,ReggieJackson,LAC,PG,72.0,25.9,No,Yes,Yes,No,Yes,2.3,No,No,No,No
175,IsaiahStewart,Det,"C,PF",75.0,24.3,Yes,No,No,Yes,No,1.0,No,Yes,No,No
176,PatrickBeverley,LAL,PG,67.0,24.7,No,No,No,No,Yes,3.26,Yes,Yes,No,No
177,CameronJohnson,Phx,"SF,PF",74.0,25.7,No,Yes,Yes,No,No,2.13,No,No,No,No
178,TalenHorton-Tucker,Utah,"SG,SF",71.0,27.5,No,Yes,No,No,No,1.88,Yes,No,No,No
179,KillianHayes,Det,PG,71.0,27.5,No,Yes,No,No,Yes,2.29,Yes,No,Yes,No
180,DelonWright,Wsh,"SG,PF",76.0,22.6,No,Yes,No,No,No,3.57,Yes,No,No,No
181,NickeilAlexander-Walker,Utah,SG,72.0,24.6,No,No,Yes,No,No,1.63,No,No,No,No
